"Create description for","Create description for"
"Create meta title for","Create meta title for"
"Create meta keywords for","Create meta keywords for"
"Create meta description for","Create meta description for"
"product","product"
"category","category"
"page","page"
"including this text","including this text"
"There was an error in the process please try again or check your Token in Stores -> Configuration -> Expanding Web -> Ai -> General Configuration -> Token. Thank you.","There was an error in the process please try again or check your Token in Stores -> Configuration -> Expanding Web -> Ai -> General Configuration -> Token. Thank you."
"Please add context so the AI can come up with the right content. For example: Write content for page 404","Please add context so the AI can come up with the right content. For example: Write content for page 404"
"Please add context so the AI can come up with the right content. For example: Write content for block contact","Please add context so the AI can come up with the right content. For example: Write content for block contact"
"Please add context so the AI can come up with the right content.","Please add context so the AI can come up with the right content."
